"Statistic","Year","County","UNIT","VALUE"
"New House Registrations","1985","Galway","Number","454"
"New House Registrations","1985","Leitrim","Number","7"
"New House Registrations","1985","Mayo","Number","91"
"New House Registrations","1985","Roscommon","Number","19"
"New House Registrations","1985","Sligo","Number","120"
"New House Registrations","1985","Cavan","Number","66"
"New House Registrations","1985","Donegal","Number","130"
"New House Registrations","1985","Monaghan","Number","32"
"New House Registrations","1986","All Counties","Number","8249"
"New House Registrations","1986","Carlow","Number","41"
"New House Registrations","1986","Dublin","Number","3722"
"New House Registrations","1986","Kildare","Number","508"
"New House Registrations","1986","Kilkenny","Number","170"
"New House Registrations","1986","Laois","Number","60"
"New House Registrations","1986","Longford","Number","20"
"New House Registrations","1986","Louth","Number","212"
"New House Registrations","1986","Meath","Number","157"
"New House Registrations","1986","Offaly","Number","42"
"New House Registrations","1986","Westmeath","Number","57"
"New House Registrations","1986","Wexford","Number","72"
"New House Registrations","1986","Wicklow","Number","191"
"New House Registrations","1986","Clare","Number","232"
"New House Registrations","1986","Cork","Number","1041"
"New House Registrations","1986","Kerry","Number","135"
"New House Registrations","1986","Limerick","Number","370"
"New House Registrations","1986","Tipperary","Number","182"
"New House Registrations","1986","Waterford","Number","302"
"New House Registrations","1986","Galway","Number","339"
"New House Registrations","1986","Leitrim","Number","11"
"New House Registrations","1986","Mayo","Number","55"
"New House Registrations","1986","Roscommon","Number","42"
"New House Registrations","1986","Sligo","Number","105"
"New House Registrations","1986","Cavan","Number","37"
"New House Registrations","1986","Donegal","Number","127"
"New House Registrations","1986","Monaghan","Number","19"
"New House Registrations","1987","All Counties","Number","7099"
"New House Registrations","1987","Carlow","Number","30"
"New House Registrations","1987","Dublin","Number","3356"
"New House Registrations","1987","Kildare","Number","329"
"New House Registrations","1987","Kilkenny","Number","156"
"New House Registrations","1987","Laois","Number","68"
"New House Registrations","1987","Longford","Number","22"
"New House Registrations","1987","Louth","Number","121"
"New House Registrations","1987","Meath","Number","136"
"New House Registrations","1987","Offaly","Number","65"
"New House Registrations","1987","Westmeath","Number","77"
"New House Registrations","1987","Wexford","Number","136"
"New House Registrations","1987","Wicklow","Number","195"
"New House Registrations","1987","Clare","Number","161"
"New House Registrations","1987","Cork","Number","791"
"New House Registrations","1987","Kerry","Number","93"
"New House Registrations","1987","Limerick","Number","284"
"New House Registrations","1987","Tipperary","Number","187"
"New House Registrations","1987","Waterford","Number","300"
"New House Registrations","1987","Galway","Number","307"
"New House Registrations","1987","Leitrim","Number","12"
"New House Registrations","1987","Mayo","Number","45"
"New House Registrations","1987","Roscommon","Number","21"
"New House Registrations","1987","Sligo","Number","57"
"New House Registrations","1987","Cavan","Number","35"
"New House Registrations","1987","Donegal","Number","64"
"New House Registrations","1987","Monaghan","Number","51"
"New House Registrations","1988","All Counties","Number","8297"
"New House Registrations","1988","Carlow","Number","25"
"New House Registrations","1988","Dublin","Number","3942"
"New House Registrations","1988","Kildare","Number","370"
"New House Registrations","1988","Kilkenny","Number","206"
"New House Registrations","1988","Laois","Number","109"
"New House Registrations","1988","Longford","Number","17"
"New House Registrations","1988","Louth","Number","110"
"New House Registrations","1988","Meath","Number","97"
"New House Registrations","1988","Offaly","Number","73"
"New House Registrations","1988","Westmeath","Number","74"
"New House Registrations","1988","Wexford","Number","131"
"New House Registrations","1988","Wicklow","Number","113"
"New House Registrations","1988","Clare","Number","191"
"New House Registrations","1988","Cork","Number","925"
"New House Registrations","1988","Kerry","Number","125"
"New House Registrations","1988","Limerick","Number","395"
"New House Registrations","1988","Tipperary","Number","164"
"New House Registrations","1988","Waterford","Number","338"
"New House Registrations","1988","Galway","Number","473"
"New House Registrations","1988","Leitrim","Number","13"
"New House Registrations","1988","Mayo","Number","80"
"New House Registrations","1988","Roscommon","Number","30"
"New House Registrations","1988","Sligo","Number","125"
"New House Registrations","1988","Cavan","Number","61"
"New House Registrations","1988","Donegal","Number","73"
"New House Registrations","1988","Monaghan","Number","37"
"New House Registrations","1989","All Counties","Number","11627"
"New House Registrations","1989","Carlow","Number","120"
"New House Registrations","1989","Dublin","Number","4500"
"New House Registrations","1989","Kildare","Number","888"
"New House Registrations","1989","Kilkenny","Number","261"
"New House Registrations","1989","Laois","Number","88"
"New House Registrations","1989","Longford","Number","24"
"New House Registrations","1989","Louth","Number","147"
"New House Registrations","1989","Meath","Number","229"
"New House Registrations","1989","Offaly","Number","69"
"New House Registrations","1989","Westmeath","Number","166"
"New House Registrations","1989","Wexford","Number","191"
"New House Registrations","1989","Wicklow","Number","394"
"New House Registrations","1989","Clare","Number","194"
"New House Registrations","1989","Cork","Number","1241"
"New House Registrations","1989","Kerry","Number","267"
"New House Registrations","1989","Limerick","Number","667"
"New House Registrations","1989","Tipperary","Number","208"
"New House Registrations","1989","Waterford","Number","465"
"New House Registrations","1989","Galway","Number","734"
"New House Registrations","1989","Leitrim","Number","10"
"New House Registrations","1989","Mayo","Number","158"
"New House Registrations","1989","Roscommon","Number","40"
"New House Registrations","1989","Sligo","Number","224"
"New House Registrations","1989","Cavan","Number","74"
"New House Registrations","1989","Donegal","Number","212"
"New House Registrations","1989","Monaghan","Number","56"
"New House Registrations","1990","All Counties","Number","11346"
"New House Registrations","1990","Carlow","Number","123"
"New House Registrations","1990","Dublin","Number","4616"
"New House Registrations","1990","Kildare","Number","770"
"New House Registrations","1990","Kilkenny","Number","230"
"New House Registrations","1990","Laois","Number","98"
"New House Registrations","1990","Longford","Number","34"
"New House Registrations","1990","Louth","Number","196"
"New House Registrations","1990","Meath","Number","297"
"New House Registrations","1990","Offaly","Number","110"
"New House Registrations","1990","Westmeath","Number","150"
"New House Registrations","1990","Wexford","Number","159"
"New House Registrations","1990","Wicklow","Number","297"
"New House Registrations","1990","Clare","Number","299"
"New House Registrations","1990","Cork","Number","1281"
"New House Registrations","1990","Kerry","Number","295"
"New House Registrations","1990","Limerick","Number","577"
"New House Registrations","1990","Tipperary","Number","203"
"New House Registrations","1990","Waterford","Number","389"
"New House Registrations","1990","Galway","Number","630"
"New House Registrations","1990","Leitrim","Number","19"
"New House Registrations","1990","Mayo","Number","141"
"New House Registrations","1990","Roscommon","Number","43"
"New House Registrations","1990","Sligo","Number","92"
"New House Registrations","1990","Cavan","Number","88"
"New House Registrations","1990","Donegal","Number","142"
"New House Registrations","1990","Monaghan","Number","67"
"New House Registrations","1991","All Counties","Number","10658"
"New House Registrations","1991","Carlow","Number","109"
"New House Registrations","1991","Dublin","Number","4684"
"New House Registrations","1991","Kildare","Number","744"
"New House Registrations","1991","Kilkenny","Number","255"
"New House Registrations","1991","Laois","Number","77"
"New House Registrations","1991","Longford","Number","25"
"New House Registrations","1991","Louth","Number","215"
"New House Registrations","1991","Meath","Number","249"
"New House Registrations","1991","Offaly","Number","78"
"New House Registrations","1991","Westmeath","Number","152"
"New House Registrations","1991","Wexford","Number","190"
"New House Registrations","1991","Wicklow","Number","118"
"New House Registrations","1991","Clare","Number","318"
"New House Registrations","1991","Cork","Number","1107"
"New House Registrations","1991","Kerry","Number","220"
"New House Registrations","1991","Limerick","Number","520"
"New House Registrations","1991","Tipperary","Number","166"
"New House Registrations","1991","Waterford","Number","235"
"New House Registrations","1991","Galway","Number","618"
"New House Registrations","1991","Leitrim","Number","17"
"New House Registrations","1991","Mayo","Number","159"
"New House Registrations","1991","Roscommon","Number","33"
"New House Registrations","1991","Sligo","Number","95"
"New House Registrations","1991","Cavan","Number","82"
"New House Registrations","1991","Donegal","Number","152"
"New House Registrations","1991","Monaghan","Number","40"
"New House Registrations","1992","All Counties","Number","12748"
"New House Registrations","1992","Carlow","Number","123"
"New House Registrations","1992","Dublin","Number","5864"
"New House Registrations","1992","Kildare","Number","932"
