"Statistic","Year","County","UNIT","VALUE"
"All Births","1995","Cork County","Number","4087"
"All Births","1995","Kerry","Number","1422"
"All Births","1995","Limerick City","Number","712"
"All Births","1995","Limerick County","Number","1515"
"All Births","1995","North Tipperary","Number","770"
"All Births","1995","South Tipperary","Number","991"
"All Births","1995","Tipperary","Number",""
"All Births","1995","Galway City","Number","756"
"All Births","1995","Leitrim","Number","299"
"All Births","1995","Mayo","Number","1312"
"All Births","1995","Roscommon","Number","535"
"All Births","1995","Sligo","Number","674"
"All Births","1995","Galway County","Number","1707"
"All Births","1995","Cavan","Number","720"
"All Births","1995","Donegal","Number","1713"
"All Births","1995","Monaghan","Number","646"
"All Births","1995","Outside the State","Number",""
"All Births","1996","State","Number","50655"
"All Births","1996","Dublin City","Number","6275"
"All Births","1996","Fingal","Number","2700"
"All Births","1996","Dun Laoghaire Rathdown","Number","2680"
"All Births","1996","South Dublin","Number","3798"
"All Births","1996","Wicklow","Number","1520"
"All Births","1996","Carlow","Number","610"
"All Births","1996","Kildare","Number","2213"
"All Births","1996","Kilkenny","Number","935"
"All Births","1996","Laois","Number","701"
"All Births","1996","Longford","Number","402"
"All Births","1996","Louth","Number","1292"
"All Births","1996","Meath","Number","1510"
"All Births","1996","Offaly","Number","828"
"All Births","1996","Westmeath","Number","949"
"All Births","1996","Wexford","Number","1517"
"All Births","1996","Waterford County","Number","732"
"All Births","1996","Waterford City","Number","630"
"All Births","1996","Clare","Number","1222"
"All Births","1996","Cork City","Number","1754"
"All Births","1996","Cork County","Number","4030"
"All Births","1996","Kerry","Number","1533"
"All Births","1996","Limerick City","Number","942"
"All Births","1996","Limerick County","Number","1512"
"All Births","1996","North Tipperary","Number","814"
"All Births","1996","South Tipperary","Number","1007"
"All Births","1996","Tipperary","Number",""
"All Births","1996","Galway City","Number","720"
"All Births","1996","Leitrim","Number","279"
"All Births","1996","Mayo","Number","1396"
"All Births","1996","Roscommon","Number","535"
"All Births","1996","Sligo","Number","727"
"All Births","1996","Galway County","Number","1800"
"All Births","1996","Cavan","Number","695"
"All Births","1996","Donegal","Number","1746"
"All Births","1996","Monaghan","Number","651"
"All Births","1996","Outside the State","Number",""
"All Births","1997","State","Number","52775"
"All Births","1997","Dublin City","Number","6379"
"All Births","1997","Fingal","Number","2769"
"All Births","1997","Dun Laoghaire Rathdown","Number","2801"
"All Births","1997","South Dublin","Number","4136"
"All Births","1997","Wicklow","Number","1601"
"All Births","1997","Carlow","Number","547"
"All Births","1997","Kildare","Number","2470"
"All Births","1997","Kilkenny","Number","989"
"All Births","1997","Laois","Number","752"
"All Births","1997","Longford","Number","413"
"All Births","1997","Louth","Number","1370"
"All Births","1997","Meath","Number","1699"
"All Births","1997","Offaly","Number","839"
"All Births","1997","Westmeath","Number","981"
"All Births","1997","Wexford","Number","1574"
"All Births","1997","Waterford County","Number","753"
"All Births","1997","Waterford City","Number","603"
"All Births","1997","Clare","Number","1311"
"All Births","1997","Cork City","Number","1780"
"All Births","1997","Cork County","Number","4230"
"All Births","1997","Kerry","Number","1599"
"All Births","1997","Limerick City","Number","996"
"All Births","1997","Limerick County","Number","1487"
"All Births","1997","North Tipperary","Number","911"
"All Births","1997","South Tipperary","Number","984"
"All Births","1997","Tipperary","Number",""
"All Births","1997","Galway City","Number","867"
"All Births","1997","Leitrim","Number","282"
"All Births","1997","Mayo","Number","1382"
"All Births","1997","Roscommon","Number","554"
"All Births","1997","Sligo","Number","725"
"All Births","1997","Galway County","Number","1752"
"All Births","1997","Cavan","Number","793"
"All Births","1997","Donegal","Number","1810"
"All Births","1997","Monaghan","Number","636"
"All Births","1997","Outside the State","Number",""
"All Births","1998","State","Number","53969"
"All Births","1998","Dublin City","Number","7023"
"All Births","1998","Fingal","Number","2929"
"All Births","1998","Dun Laoghaire Rathdown","Number","2706"
"All Births","1998","South Dublin","Number","3874"
"All Births","1998","Wicklow","Number","1682"
"All Births","1998","Carlow","Number","663"
"All Births","1998","Kildare","Number","2571"
"All Births","1998","Kilkenny","Number","1022"
"All Births","1998","Laois","Number","761"
"All Births","1998","Longford","Number","424"
"All Births","1998","Louth","Number","1427"
"All Births","1998","Meath","Number","1693"
"All Births","1998","Offaly","Number","906"
"All Births","1998","Westmeath","Number","967"
"All Births","1998","Wexford","Number","1638"
"All Births","1998","Waterford County","Number","717"
"All Births","1998","Waterford City","Number","638"
"All Births","1998","Clare","Number","1309"
"All Births","1998","Cork City","Number","1805"
"All Births","1998","Cork County","Number","4416"
"All Births","1998","Kerry","Number","1586"
"All Births","1998","Limerick City","Number","938"
"All Births","1998","Limerick County","Number","1590"
"All Births","1998","North Tipperary","Number","838"
"All Births","1998","South Tipperary","Number","941"
"All Births","1998","Tipperary","Number",""
"All Births","1998","Galway City","Number","793"
"All Births","1998","Leitrim","Number","284"
"All Births","1998","Mayo","Number","1408"
"All Births","1998","Roscommon","Number","560"
"All Births","1998","Sligo","Number","773"
"All Births","1998","Galway County","Number","1920"
"All Births","1998","Cavan","Number","729"
"All Births","1998","Donegal","Number","1781"
"All Births","1998","Monaghan","Number","657"
"All Births","1998","Outside the State","Number",""
"All Births","1999","State","Number","53924"
"All Births","1999","Dublin City","Number","6622"
"All Births","1999","Fingal","Number","3224"
"All Births","1999","Dun Laoghaire Rathdown","Number","2597"
"All Births","1999","South Dublin","Number","3845"
"All Births","1999","Wicklow","Number","1783"
"All Births","1999","Carlow","Number","620"
"All Births","1999","Kildare","Number","2570"
"All Births","1999","Kilkenny","Number","983"
"All Births","1999","Laois","Number","769"
"All Births","1999","Longford","Number","420"
"All Births","1999","Louth","Number","1471"
"All Births","1999","Meath","Number","1816"
"All Births","1999","Offaly","Number","849"
"All Births","1999","Westmeath","Number","1086"
"All Births","1999","Wexford","Number","1707"
"All Births","1999","Waterford County","Number","838"
"All Births","1999","Waterford City","Number","551"
"All Births","1999","Clare","Number","1471"
"All Births","1999","Cork City","Number","1579"
"All Births","1999","Cork County","Number","4303"
"All Births","1999","Kerry","Number","1566"
"All Births","1999","Limerick City","Number","726"
"All Births","1999","Limerick County","Number","1702"
"All Births","1999","North Tipperary","Number","822"
"All Births","1999","South Tipperary","Number","1044"
"All Births","1999","Tipperary","Number",""
"All Births","1999","Galway City","Number","732"
"All Births","1999","Leitrim","Number","307"
"All Births","1999","Mayo","Number","1410"
"All Births","1999","Roscommon","Number","526"
"All Births","1999","Sligo","Number","717"
"All Births","1999","Galway County","Number","1940"
"All Births","1999","Cavan","Number","781"
"All Births","1999","Donegal","Number","1857"
"All Births","1999","Monaghan","Number","690"
"All Births","1999","Outside the State","Number",""
"All Births","2000","State","Number","54789"
"All Births","2000","Dublin City","Number","6919"
"All Births","2000","Fingal","Number","2915"
"All Births","2000","Dun Laoghaire Rathdown","Number","2583"
"All Births","2000","South Dublin","Number","3975"
"All Births","2000","Wicklow","Number","1824"
"All Births","2000","Carlow","Number","706"
"All Births","2000","Kildare","Number","2881"
"All Births","2000","Kilkenny","Number","1047"
"All Births","2000","Laois","Number","782"
"All Births","2000","Longford","Number","441"
"All Births","2000","Louth","Number","1535"
"All Births","2000","Meath","Number","1921"
"All Births","2000","Offaly","Number","815"
"All Births","2000","Westmeath","Number","1117"
"All Births","2000","Wexford","Number","1616"
"All Births","2000","Waterford County","Number","788"
"All Births","2000","Waterford City","Number","635"
"All Births","2000","Clare","Number","1372"
"All Births","2000","Cork City","Number","1526"
"All Births","2000","Cork County","Number","4538"
"All Births","2000","Kerry","Number","1594"
"All Births","2000","Limerick City","Number","857"
"All Births","2000","Limerick County","Number","1549"
"All Births","2000","North Tipperary","Number","1006"
"All Births","2000","South Tipperary","Number","987"
"All Births","2000","Tipperary","Number",""
